month,Monthly_Mean_RH_percent,Monthly_Mean_Tdb_C,Chiller_On_Hours,Total_Water_L,Total_HeatPump_Elec_kWh,Completed_Cycles,Mean_COP,city,scenario,T_target_C
3,70.02076749232016,15.40942126514132,0,0.0,0.0,0.0,,SD,60C,60.0
4,67.67983807062264,17.15,9,54214.069651449274,12094.82014258938,3.0,3.936516573955385,SD,60C,60.0
5,73.0324366865542,17.204704301075267,40,236977.864690169,52617.54252200713,14.0,3.944124821555575,SD,60C,60.0
6,72.81899049333755,19.48111111111111,131,619607.7395603859,134476.21379720516,43.0,4.013798871439096,SD,60C,60.0
7,78.1509188075694,20.543413978494623,307,1840118.5825933777,390326.4424663747,103.0,4.115192514554064,SD,60C,60.0
8,73.78351115796069,22.13279569892473,351,2085378.5508248303,433814.3344359322,117.0,4.2203054907047655,SD,60C,60.0
9,74.6411491358724,21.619722222222222,348,2034400.432527723,426026.79837285145,116.0,4.189037330012218,SD,60C,60.0
10,71.94658722227885,18.60967741935484,94,500554.50299037993,108362.6330852734,31.0,4.039133607100714,SD,60C,60.0
11,59.14621242349399,16.960833333333333,15,67977.10490819998,15057.798328354053,5.0,3.963177711416183,SD,60C,60.0
12,54.25015476426494,14.213844086021506,1,0.0,0.0,0.0,,SD,60C,60.0
1,70.14977699566236,14.014112903225806,0,0.0,0.0,0.0,,SD,80C,80.0
2,73.84643539687333,15.011589895988111,0,0.0,0.0,0.0,,SD,80C,80.0
3,70.02076749232016,15.40942126514132,0,0.0,0.0,0.0,,SD,80C,80.0
4,67.67983807062264,17.15,9,66895.66078829064,21483.889952993737,5.0,2.733935779993894,SD,80C,80.0
5,73.0324366865542,17.204704301075267,40,272508.6418734159,87126.21049759303,20.0,2.739097162563332,SD,80C,80.0
6,72.81899049333755,19.48111111111111,131,729595.084313499,229619.76328990978,65.0,2.770751069449599,SD,80C,80.0
7,78.1509188075694,20.543413978494623,307,2155609.2912350246,668901.0785488462,154.0,2.8159960884290163,SD,80C,80.0
8,73.78351115796069,22.13279569892473,351,2440225.82886191,748018.3122340131,175.0,2.8615029592194423,SD,80C,80.0
9,74.6411491358724,21.619722222222222,348,2382824.6098627253,733158.4867895392,174.0,2.8480551963680947,SD,80C,80.0
10,71.94658722227885,18.60967741935484,94,582069.630702388,183050.63111262245,47.0,2.7812205748444345,SD,80C,80.0
11,59.14621242349399,16.960833333333333,15,93286.66138865157,29734.644451982338,8.0,2.7499559615314353,SD,80C,80.0
12,54.25015476426494,14.213844086021506,1,0.0,0.0,0.0,,SD,80C,80.0
1,70.62610974286045,-4.646908602150538,0,0.0,0.0,0.0,,CHI,60C,60.0
2,65.83803383524234,-2.5251114413075784,0,0.0,0.0,0.0,,CHI,60C,60.0
3,70.1423823634028,3.829878869448183,0,0.0,0.0,0.0,,CHI,60C,60.0
4,68.87044411615675,9.938611111111111,51,769127.4467042139,153665.96307949926,17.0,4.337590064101665,CHI,60C,60.0
5,62.657508272805515,15.297177419354838,41,360616.93917044473,76172.67496228131,14.0,4.165909685569013,CHI,60C,60.0
6,61.880198204430194,21.11,155,1874349.2132023652,362125.26557229034,52.0,4.473193989010815,CHI,60C,60.0
7,73.33494289840384,24.12956989247312,388,4204190.582821528,748161.7458797607,129.0,4.748953280662983,CHI,60C,60.0
8,73.79650197921215,21.780376344086022,279,2231684.5579693103,423244.8194393981,93.0,4.489212632043934,CHI,60C,60.0
9,74.22207378493212,18.142083333333332,116,1038266.8811535571,213840.71985808565,39.0,4.249144161507868,CHI,60C,60.0
10,68.10821405873749,10.983198924731182,1,0.0,0.0,0.0,,CHI,60C,60.0
11,74.38707397723385,4.739305555555556,14,73888.63072434513,16046.23898178075,4.0,4.037613389984109,CHI,60C,60.0
12,74.58115160526508,-3.673790322580645,0,0.0,0.0,0.0,,CHI,60C,60.0
1,70.62610974286045,-4.646908602150538,0,0.0,0.0,0.0,,CHI,80C,80.0
2,65.83803383524234,-2.5251114413075784,0,0.0,0.0,0.0,,CHI,80C,80.0
3,70.1423823634028,3.829878869448183,0,0.0,0.0,0.0,,CHI,80C,80.0
4,68.87044411615675,9.938611111111111,51,943378.2578224393,283142.2132883565,26.0,2.909710291824141,CHI,80C,80.0
5,62.657508272805515,15.297177419354838,41,379262.49455732317,117438.10435603822,20.0,2.836622297071584,CHI,80C,80.0
6,61.880198204430194,21.11,155,2200649.484134965,642600.7721807022,78.0,2.9676550967244864,CHI,80C,80.0
7,73.33494289840384,24.12956989247312,388,4903973.727843207,1362404.1744073115,194.0,3.0750140863594986,CHI,80C,80.0
8,73.79650197921215,21.780376344086022,279,2593828.5371037805,747499.4755039277,139.0,2.9713783648281025,CHI,80C,80.0
9,74.22207378493212,18.142083333333332,116,1202202.9078184562,364849.0441859541,58.0,2.8761390508691305,CHI,80C,80.0
10,68.10821405873749,10.983198924731182,1,23004.248333540716,7325.641521067229,1.0,2.7599452883267643,CHI,80C,80.0
11,74.38707397723385,4.739305555555556,14,86772.05795557771,27369.447298619452,6.0,2.781552569560784,CHI,80C,80.0
12,74.58115160526508,-3.673790322580645,0,0.0,0.0,0.0,,CHI,80C,80.0
1,45.115531554636405,0.7705645161290323,0,0.0,0.0,0.0,,DEN,60C,60.0
2,53.174333910777605,-0.0637444279346211,0,0.0,0.0,0.0,,DEN,60C,60.0
3,38.98967200426838,6.125437415881561,0,0.0,0.0,0.0,,DEN,60C,60.0
4,60.68721591983632,5.830972222222223,0,0.0,0.0,0.0,,DEN,60C,60.0
5,52.02127444369556,15.471908602150538,2,57805.7912119858,13175.114603787233,1.0,3.8561599235632475,DEN,60C,60.0
6,41.72182241632325,23.085555555555555,88,210473.4731895775,45547.13330710852,29.0,3.9881473891711026,DEN,60C,60.0
7,49.93886595015964,22.268010752688173,83,331833.4084339638,70127.39999655417,28.0,4.118785157008715,DEN,60C,60.0
8,44.44281253233816,22.620026881720428,71,431222.63899078575,90357.36146667096,24.0,4.159288581966625,DEN,60C,60.0
9,40.38911460529516,19.158194444444444,22,0.0,0.0,6.0,3.965335944785158,DEN,60C,60.0
10,60.52047415042887,10.070833333333333,0,0.0,0.0,0.0,,DEN,60C,60.0
11,50.97649204347899,2.8926388888888885,0,0.0,0.0,0.0,,DEN,60C,60.0
12,47.43772064715284,1.464247311827957,0,0.0,0.0,0.0,,DEN,60C,60.0
1,45.115531554636405,0.7705645161290323,0,0.0,0.0,0.0,,DEN,80C,80.0
2,53.174333910777605,-0.0637444279346211,0,0.0,0.0,0.0,,DEN,80C,80.0
3,38.98967200426838,6.125437415881561,0,0.0,0.0,0.0,,DEN,80C,80.0
4,60.68721591983632,5.830972222222223,0,0.0,0.0,0.0,,DEN,80C,80.0
5,52.02127444369556,15.471908602150538,2,0.0,0.0,1.0,2.642717435222088,DEN,80C,80.0
6,41.72182241632325,23.085555555555555,88,263378.86960023607,82132.87985032493,44.0,2.7596253181788777,DEN,80C,80.0
7,49.93886595015964,22.268010752688173,83,344616.4450528068,106997.69283783155,42.0,2.817791343160048,DEN,80C,80.0
8,44.44281253233816,22.620026881720428,71,365715.7020950478,112293.73745457715,35.0,2.8370319971043276,DEN,80C,80.0
9,40.38911460529516,19.158194444444444,22,0.0,0.0,11.0,2.7413700736081226,DEN,80C,80.0
10,60.52047415042887,10.070833333333333,0,0.0,0.0,0.0,,DEN,80C,80.0
11,50.97649204347899,2.8926388888888885,0,0.0,0.0,0.0,,DEN,80C,80.0
12,47.43772064715284,1.464247311827957,0,0.0,0.0,0.0,,DEN,80C,80.0
1,36.16203843032799,13.009811827956987,0,0.0,0.0,0.0,,PHX,60C,60.0
2,51.01260911015349,15.660772659732542,12,0.0,0.0,4.0,4.089793400896983,PHX,60C,60.0
3,41.27286266744278,17.344952893674293,1,0.0,0.0,1.0,3.844116881710573,PHX,60C,60.0
4,21.70453131023178,23.637777777777778,96,0.0,0.0,32.0,3.983819759301129,PHX,60C,60.0
5,23.915413736578166,27.286424731182795,199,91819.4027327958,19028.112351270334,66.0,4.101100609957296,PHX,60C,60.0
6,18.565539438005793,33.985416666666666,373,543393.8408009775,106968.15050028516,124.0,4.376726248597106,PHX,60C,60.0
7,29.113292591857174,35.5630376344086,403,3629921.1652156804,629101.5368375808,135.0,4.9213839738839935,PHX,60C,60.0
8,30.83564849247827,33.82029569892473,443,4252422.189541873,749023.4491560961,147.0,4.851369048679071,PHX,60C,60.0
9,28.78487642620554,30.389305555555556,207,325332.4471058011,63566.34028839704,69.0,4.3606380253363115,PHX,60C,60.0
10,33.94154164135202,24.81827956989247,154,635090.23178544,129578.21335735724,52.0,4.288930576254099,PHX,60C,60.0
11,37.205520576390576,17.962777777777777,5,15323.782150575014,3352.279401345661,1.0,4.017573670722676,PHX,60C,60.0
12,49.85765488828133,11.71518817204301,0,0.0,0.0,0.0,,PHX,60C,60.0
1,36.16203843032799,13.009811827956987,0,0.0,0.0,0.0,,PHX,80C,80.0
2,51.01260911015349,15.660772659732542,12,0.0,0.0,6.0,2.805685671221211,PHX,80C,80.0
3,41.27286266744278,17.344952893674293,1,0.0,0.0,1.0,2.7030460194559156,PHX,80C,80.0
4,21.70453131023178,23.637777777777778,96,0.0,0.0,48.0,2.7549987921096117,PHX,80C,80.0
5,23.915413736578166,27.286424731182795,199,153783.57344950337,46671.68436722704,99.0,2.809395923187312,PHX,80C,80.0
6,18.565539438005793,33.985416666666666,373,714520.1934071196,210847.2265742962,187.0,2.9270088248737385,PHX,80C,80.0
7,29.113292591857174,35.5630376344086,403,4156402.7646462773,1138809.775715116,201.0,3.146742995482365,PHX,80C,80.0
8,30.83564849247827,33.82029569892473,443,5095973.402400744,1407476.362954363,222.0,3.1181257954517325,PHX,80C,80.0
9,28.78487642620554,30.389305555555556,207,387347.15274021635,114478.32148630067,103.0,2.9215739459371206,PHX,80C,80.0
10,33.94154164135202,24.81827956989247,154,795045.4436918722,238062.7952154798,77.0,2.893522004923261,PHX,80C,80.0
11,37.205520576390576,17.962777777777777,5,15953.36417780797,5081.255227176729,2.0,2.7595860641008723,PHX,80C,80.0
12,49.85765488828133,11.71518817204301,0,0.0,0.0,0.0,,PHX,80C,80.0
